
Apple, raw#40##Fruit and Fruit products#USA#120#16#6#Gannon MC, Nuttall FQ, Krezowski PA, Billington CJ, Parker S. The serum insulin and plasma glucose responses to milk and fruit products in Type 2 (non-insulin-dependent) diabetic patients. Diabetologia 1986; 29: 784-91.#Type 2#5h#7#1986#
Apple, raw, Golden Delicious#39##Fruit and Fruit products#Canada#120#16#6#Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6.#Normal#2h#6#1981#
Apple, Braeburn, raw #32##Fruit and Fruit products#New Zealand#120#13#4#Ha M-A, Mann JI, Melton LD, Lewis-Barned NJ. Relationship between the glycaemic index and sugar content of fruits. Diab Nutr Metab 1992; 5: 199-203.#Type 2 & IGT#3h#15#1992#
Apple, raw#34##Fruit and Fruit products#Canada#120#16#5#Schauberger G, Brinck UC, Guldner G, Spaethe R, Niklas L, Otto H. Exchange of carbohydrates according to their effect on blood glucose. Diabetes 1978; 26: 415 (abstr).#Type 2#NS#NS#1978#
Apple, raw #44##Fruit and Fruit products#Italy#120#13#6#Lunetta M, Di Mauro M, Crimi S, Mughini L. No important differences in glycaemic responses to common fruits in type 2 diabetic patients. Diab Medicine 1995; 12(8): 674-8.#Type 2#3h#7#1995#
Apple, raw#28##Fruit and Fruit products#Denmark#120#13#4#Gregersen S, Rasmussen O, Larsen S, Hermansen K. Glycaemic and insulinaemic responses to orange and apple compared with white bread in non-insulin-dependent diabetic subjects. Euro J Clin Nutr 1992; 46: 301-3.#Type 2#3h#8#1992#
Apple, dried#29##Fruit and Fruit products#Australia#60#36#11#Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007.#Normal#2h#10#1995#
Sliced Apples, canned, solid packed without juice#42#Langeberg and Ashton Foods Pty Ltd, South Africa#Fruit and Fruit products#South Africa#120#10#4#Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007.#Normal#2h#10#2007#
Apple juice, unsweetened, reconstituted#39#Berrivale Orchards Ltd, Berri, Australia#Fruit Juices#Australia#250#25#10#Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007.#Normal#2h#10#1995#
Apple juice, Granny Smith, unsweetened #44##Fruit Juices#Australia#250#30#13#Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007.#Normal#2h#10#1995#
Apple juice, pure, clear, unsweetened#44#The Wild About Fruit Company, Wandin, VIC, Australia#Fruit Juices#Australia#250#30#13#Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007.#Normal#2h#10#1995#
Apple juice, pure, cloudy, unsweetened#37#The Wild About Fruit Company, Australia#Fruit Juices#Australia#250#28#11#Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007.#Normal#2h#10#1995#
Apricot, raw #34##Fruit and Fruit products#Australia#120#9#3#Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007.#Normal#2h#10#1995#
Apricot, raw#57##Fruit and Fruit products#Italy#120#9#5#Lunetta M, Di Mauro M, Crimi S, Mughini L. No important differences in glycaemic responses to common fruits in type 2 diabetic patients. Diab Medicine 1995; 12(8): 674-8.#Type 2#3h#7#1995#
Apricots, dried #30##Fruit and Fruit products#Australia#60#27#8#Brand-Miller J, Pang E, Broomhead L. The glycaemic index of foods containing sugars: comparison of foods with naturally-occurring v. added sugars. Br J Nutr 1995; 73: 613-23.#Normal#2h#8#1995#
Apricots, dried, ready to eat#31##Fruit and Fruit products#UK#60#22#7#Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30.#Normal#2h#8#2005#
Apricots, dried, ready to eat, bite size#32##Fruit and Fruit products#UK#60#22#7#Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30.#Normal#2h#10#2005#
Apricots, dried#32#Wasco foods, Montreal, Canada#Fruit and Fruit products#Canada#60#30#10#Wolever TMS, Vuksan V, Katzman Relle L, Jenkins AL, Josse RG, Wong GS, Jenkins DJA. Glycemic index of fruits and fruit products in patients with diabetes. Int J Food Sci Nutr 1993; 43: 205-12.#Type 2#3h#9#1993#
Apricot halves canned in fruit juice#51#Langeberg and Ashton Foods Pty Ltd, South Africa#Fruit and Fruit products#South Africa#120#12#6#Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007.#Normal#2h#10#2007#
Apricots, canned in light syrup#64#Riviera, Aliments Caneast Foods, Montreal, Canada#Fruit and Fruit products#Canada#120#19#12#Wolever TMS, Vuksan V, Katzman Relle L, Jenkins AL, Josse RG, Wong GS, Jenkins DJA. Glycemic index of fruits and fruit products in patients with diabetes. Int J Food Sci Nutr 1993; 43: 205-12.#Type 2#3h#9#1993#
